id,type,name,address
1,pickup_point,Pickup Point Nevsky,"Nevsky Prospekt 10, Saint Petersburg"
2,pickup_point,Pickup Point Ligovsky,"Ligovsky Prospekt 52, Saint Petersburg"
3,pickup_point,Pickup Point Vasileostrovsky,"8th Line 33, Saint Petersburg"
4,pickup_point,Pickup Point Petrogradsky,"Bolshoy Prospekt PS 18, Saint Petersburg"
5,pickup_point,Pickup Point Kupchino,"Bukharestskaya 74, Saint Petersburg"
6,pickup_point,Pickup Point Parnas,"Mikhaila Dudina 12, Saint Petersburg"
7,pickup_point,Pickup Point Devyatkino,"Privokzalnaya Square 3, Murino"
8,pickup_point,Pickup Point Kudrovo,"Leningradskaya 9, Kudrovo"
9,warehouse,Warehouse North,"Parnas Industrial Zone 1, Saint Petersburg"
10,warehouse,Warehouse South,"Sofiyskaya 62, Saint Petersburg"
11,warehouse,Warehouse East,"Yakorniy Lane 7, Saint Petersburg"
12,warehouse,Warehouse West,"Marshala Zhukova 21, Saint Petersburg"
13,warehouse,Warehouse Central,"Obvodny Canal 118, Saint Petersburg"
14,warehouse,Warehouse Murino,"Centralnaya 44, Murino"
15,warehouse,Warehouse Kudrovo,"Prigorodnaya 16, Kudrovo"
