product_id,warehouse_id,quantity
1,128,21
1,141,18
2,135,22
2,158,21
3,142,23
3,175,24
4,149,24
4,192,27
5,156,25
5,129,30
6,163,26
6,146,33
7,170,27
7,163,36
8,177,28
8,180,39
9,184,29
9,197,42
10,191,30
10,134,45
11,198,31
11,151,48
12,125,32
12,168,51
13,132,33
13,185,54
14,139,34
14,122,57
15,146,35
15,139,60
16,153,36
16,156,63
17,160,37
17,173,66
18,167,38
18,190,69
19,174,39
19,127,72
20,181,40
20,144,75
21,188,41
21,161,78
22,195,42
22,178,81
23,122,43
23,195,84
24,129,44
24,132,17
25,136,45
25,149,20
26,143,46
26,166,23
27,150,47
27,183,26
28,157,48
28,200,29
29,164,49
29,137,32
30,171,50
30,154,35
31,178,51
31,171,38
32,185,52
32,188,41
33,192,53
33,125,44
34,199,54
34,142,47
35,126,55
35,159,50
36,133,56
36,176,53
37,140,57
37,193,56
38,147,58
38,130,59
39,154,59
39,147,62
40,161,60
40,164,65
41,168,61
41,181,68
42,175,62
42,198,71
43,182,63
43,135,74
44,189,64
44,152,77
45,196,65
45,169,80
46,123,66
46,186,83
47,130,67
47,123,16
48,137,68
48,140,19
49,144,69
49,157,22
50,151,70
50,174,25
51,158,71
51,191,28
52,165,72
52,128,31
53,172,73
53,145,34
54,179,74
54,162,37
55,186,75
55,179,40
56,193,76
56,196,43
57,200,77
57,133,46
58,127,78
58,150,49
59,134,79
59,167,52
60,141,80
60,184,55
61,148,81
61,121,58
62,155,82
62,138,61
63,162,83
63,155,64
64,169,84
64,172,67
65,176,85
65,189,70
66,183,86
66,126,73
67,190,87
67,143,76
68,197,88
68,160,79
69,124,89
69,177,82
70,131,90
70,194,15
71,138,91
71,131,18
72,145,92
72,148,21
73,152,93
73,165,24
74,159,94
74,182,27
75,166,95
75,199,30
76,173,96
76,136,33
77,180,97
77,153,36
78,187,98
78,170,39
79,194,99
79,187,42
80,121,20
80,124,45
81,128,21
81,141,48
82,135,22
82,158,51
83,142,23
83,175,54
84,149,24
84,192,57
85,156,25
85,129,60
86,163,26
86,146,63
87,170,27
87,163,66
88,177,28
88,180,69
89,184,29
89,197,72
90,191,30
90,134,75
91,198,31
91,151,78
92,125,32
92,168,81
93,132,33
93,185,84
94,139,34
94,122,17
95,146,35
95,139,20
96,153,36
96,156,23
97,160,37
97,173,26
98,167,38
98,190,29
99,174,39
99,127,32
100,181,40
100,144,35
101,188,41
101,161,38
102,195,42
102,178,41
103,122,43
103,195,44
104,129,44
104,132,47
105,136,45
105,149,50
106,143,46
106,166,53
107,150,47
107,183,56
108,157,48
108,200,59
109,164,49
109,137,62
110,171,50
110,154,65
111,178,51
111,171,68
112,185,52
112,188,71
113,192,53
113,125,74
114,199,54
114,142,77
115,126,55
115,159,80
116,133,56
116,176,83
117,140,57
117,193,16
118,147,58
118,130,19
119,154,59
119,147,22
120,161,60
120,164,25
121,168,61
121,181,28
122,175,62
122,198,31
123,182,63
123,135,34
124,189,64
124,152,37
125,196,65
125,169,40
126,123,66
126,186,43
127,130,67
127,123,46
128,137,68
128,140,49
129,144,69
129,157,52
130,151,70
130,174,55
131,158,71
131,191,58
132,165,72
132,128,61
133,172,73
133,145,64
134,179,74
134,162,67
135,186,75
135,179,70
136,193,76
136,196,73
137,200,77
137,133,76
138,127,78
138,150,79
139,134,79
139,167,82
140,141,80
140,184,15
141,148,81
141,121,18
142,155,82
142,138,21
143,162,83
143,155,24
144,169,84
144,172,27
145,176,85
145,189,30
146,183,86
146,126,33
147,190,87
147,143,36
148,197,88
148,160,39
149,124,89
149,177,42
150,131,90
150,194,45
151,138,91
151,131,48
152,145,92
152,148,51
153,152,93
153,165,54
154,159,94
154,182,57
155,166,95
155,199,60
156,173,96
156,136,63
157,180,97
157,153,66
158,187,98
158,170,69
159,194,99
159,187,72
160,121,20
160,124,75
161,128,21
161,141,78
162,135,22
162,158,81
163,142,23
163,175,84
164,149,24
164,192,17
165,156,25
165,129,20
166,163,26
166,146,23
167,170,27
167,163,26
168,177,28
168,180,29
169,184,29
169,197,32
170,191,30
170,134,35
171,198,31
171,151,38
172,125,32
172,168,41
173,132,33
173,185,44
174,139,34
174,122,47
175,146,35
175,139,50
176,153,36
176,156,53
177,160,37
177,173,56
178,167,38
178,190,59
179,174,39
179,127,62
180,181,40
180,144,65
181,188,41
181,161,68
182,195,42
182,178,71
183,122,43
183,195,74
184,129,44
184,132,77
185,136,45
185,149,80
186,143,46
186,166,83
187,150,47
187,183,16
188,157,48
188,200,19
189,164,49
189,137,22
190,171,50
190,154,25
191,178,51
191,171,28
192,185,52
192,188,31
193,192,53
193,125,34
194,199,54
194,142,37
195,126,55
195,159,40
196,133,56
196,176,43
197,140,57
197,193,46
198,147,58
198,130,49
199,154,59
199,147,52
200,161,60
200,164,55
201,168,61
201,181,58
202,175,62
202,198,61
203,182,63
203,135,64
204,189,64
204,152,67
205,196,65
205,169,70
206,123,66
206,186,73
207,130,67
207,123,76
208,137,68
208,140,79
209,144,69
209,157,82
210,151,70
210,174,15
211,158,71
211,191,18
212,165,72
212,128,21
213,172,73
213,145,24
214,179,74
214,162,27
215,186,75
215,179,30
216,193,76
216,196,33
217,200,77
217,133,36
218,127,78
218,150,39
219,134,79
219,167,42
220,141,80
220,184,45
221,148,81
221,121,48
222,155,82
222,138,51
223,162,83
223,155,54
224,169,84
224,172,57
225,176,85
225,189,60
226,183,86
226,126,63
227,190,87
227,143,66
228,197,88
228,160,69
229,124,89
229,177,72
230,131,90
230,194,75
231,138,91
231,131,78
232,145,92
232,148,81
233,152,93
233,165,84
234,159,94
234,182,17
235,166,95
235,199,20
236,173,96
236,136,23
237,180,97
237,153,26
238,187,98
238,170,29
239,194,99
239,187,32
240,121,20
240,124,35
241,128,21
241,141,38
242,135,22
242,158,41
243,142,23
243,175,44
244,149,24
244,192,47
245,156,25
245,129,50
246,163,26
246,146,53
247,170,27
247,163,56
248,177,28
248,180,59
249,184,29
249,197,62
250,191,30
250,134,65
251,198,31
251,151,68
252,125,32
252,168,71
253,132,33
253,185,74
254,139,34
254,122,77
255,146,35
255,139,80
256,153,36
256,156,83
257,160,37
257,173,16
258,167,38
258,190,19
259,174,39
259,127,22
260,181,40
260,144,25
261,188,41
261,161,28
262,195,42
262,178,31
263,122,43
