order_id,product_id,quantity,price_at_order
1,1544,2,9625.00
1,4463,3,31360.00
1,2382,1,72920.00
2,3087,3,22445.00
2,1006,1,9005.00
2,3925,2,7240.00
2,1844,3,10725.00
3,4630,1,5265.00
3,2549,2,3775.00
4,1173,2,12360.00
4,4092,3,15095.00
4,2011,1,8630.00
5,2716,3,56180.00
5,635,1,3640.00
5,3554,2,46900.00
5,1473,3,13460.00
6,4259,1,16450.00
6,2178,2,21010.00
7,802,2,72370.00
7,3721,3,25080.00
7,1640,1,3365.00
8,2345,3,6690.00
8,264,1,10175.00
8,3183,2,31910.00
8,1102,3,70445.00
9,3888,1,7960.00
9,1807,2,22995.00
10,431,2,8080.00
10,3350,3,5815.00
10,1269,1,4325.00
11,1974,3,46350.00
11,4893,1,12085.00
11,2812,2,15645.00
11,731,3,9180.00
12,3517,1,10170.00
12,1436,2,56730.00
13,60,2,2815.00
13,2979,3,17000.00
13,898,1,18535.00
14,1603,3,31360.00
14,4522,1,72095.00
14,2441,2,25630.00
14,360,3,3915.00
15,3146,1,8180.00
15,1065,2,7240.00
16,4689,2,2950.00
16,2608,3,8510.00
16,527,1,23545.00
17,1232,3,15095.00
17,4151,1,10830.00
17,2070,2,6365.00
17,4989,3,4050.00
18,2775,1,2815.00
18,694,2,46900.00
19,4318,2,20185.00
19,2237,3,10720.00
19,156,1,57280.00
20,861,3,25080.00
20,3780,1,2540.00
20,1699,2,17550.00
20,4618,3,18260.00
21,2404,1,9350.00
21,323,2,31910.00
22,3947,2,22170.00
22,1866,3,8730.00
22,4785,1,6965.00
23,490,3,5815.00
23,3409,1,3500.00
23,1328,2,6035.00
23,4247,3,23270.00
24,2033,1,12085.00
24,4952,2,14820.00
25,3576,2,55905.00
25,1495,3,3365.00
25,4414,1,46625.00
26,119,3,17000.00
26,3038,1,20735.00
26,957,2,11270.00
26,3876,3,57005.00
27,1662,1,72095.00
27,4581,2,27830.00
28,3205,2,6415.00
28,1124,3,9900.00
28,4043,1,31635.00
29,4748,3,7685.00
29,2667,1,22720.00
29,586,2,9280.00
29,3505,3,4490.00
30,1291,1,10830.00
30,4210,2,5540.00
31,2834,2,49100.00
31,753,3,12635.00
31,3672,1,15370.00
32,4377,3,12920.00
32,2296,1,56455.00
32,215,2,890.00
32,3134,3,47175.00
33,920,1,2540.00
33,3839,2,16725.00
34,2463,2,31085.00
34,382,3,72645.00
34,3301,1,25355.00
35,4006,3,7905.00
35,1925,1,6965.00
35,4844,2,9625.00
35,2763,3,32185.00
36,549,1,3500.00
36,3468,2,8235.00
37,2092,2,14820.00
37,11,3,8355.00
37,2930,1,6090.00
38,3635,3,2540.00
38,1554,1,46625.00
38,4473,2,12360.00
38,2392,3,15920.00
39,178,1,20735.00
39,3097,2,10445.00
40,1721,2,27830.00
40,4640,3,2265.00
40,2559,1,17275.00
41,3264,3,12100.00
41,1183,1,31635.00
41,4102,2,72370.00
41,2021,3,25905.00
42,4807,1,24920.00
42,2726,2,8455.00
43,1350,2,5540.00
43,4269,3,3225.00
43,2188,1,5760.00
44,2893,3,11810.00
44,812,1,15370.00
44,3731,2,8080.00
44,1650,3,6640.00
45,4436,1,55630.00
